Epoch,Train_Loss,Val_Loss,Motion_Loss_Val,Caption_Loss_Val
1,3.6292,2.4575,0.0676,2.3899
2,2.2074,2.0146,0.0677,1.9469
3,1.9095,1.8294,0.0700,1.7594
4,1.7520,1.7101,0.0607,1.6493
5,1.6271,1.6020,0.0299,1.5721
6,1.5471,1.5500,0.0309,1.5191
7,1.4856,1.5008,0.0243,1.4764
8,1.4349,1.4555,0.0122,1.4432
9,1.3922,1.4278,0.0118,1.4160
10,1.3540,1.4032,0.0127,1.3905
11,1.3179,1.3740,0.0094,1.3647
12,1.2876,1.3520,0.0068,1.3452
13,1.2593,1.3480,0.0111,1.3370
14,1.2355,1.3201,0.0060,1.3141
15,1.2107,1.3141,0.0095,1.3045
16,1.1892,1.3016,0.0062,1.2954
17,1.1689,1.2853,0.0056,1.2797
18,1.1483,1.2781,0.0054,1.2726
19,1.1287,1.2787,0.0074,1.2713
20,1.1108,1.2882,0.0112,1.2770
